name,online_order,book_table,rate,votes,location,rest_type,cost_for_two_people
VT Sindhur Veg,False,False,3.3,13,Richmond Road,Casual Dining,600
Alibi - Maya International Hotel,False,False,1.8,224,Church Street,Casual Dining,1200
Nagashree's,False,False,2.9,46,Shanti Nagar,Casual Dining,550
Mughals Restaurant,False,False,3.2,17,Shivajinagar,Casual Dining,550
Norsha Caffe,True,False,3.3,6,Commercial Street,Cafe,400
No 10 Fort Cochin,True,True,3.8,194,St. Marks Road,Casual Dining,800
Unicorn Bar & Restaurant,False,False,3.9,119,Infantry Road,"Casual Dining, Bar",800
Murugan Mess,False,False,3.3,7,Shivajinagar,Mess,150
Luscious - St. Mark's Hotel,False,False,3.7,11,St. Marks Road,Lounge,1200
Spice It,False,False,3.8,52,Richmond Road,Casual Dining,1200
Lifetree CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,False,False,3.4,10,Richmond Road,Casual Dining,700
The Perfect Stop,False,False,3.6,11,Shanti Nagar,Quick Bites,300
Petoo,False,False,3.7,32,Commercial Street,Casual Dining,800
Taste Of Kerala,False,False,2.2,48,Residency Road,Casual Dining,600
The Charlton Bar,False,False,3.3,4,Residency Road,Bar,1000
Amnesia - The Poolside Bar,False,False,3.7,15,Residency Road,"Casual Dining, Bar",2000
RR Catering,False,False,3.4,10,MG Road,Quick Bites,350
Engine,False,False,3.3,16,Ulsoor,"Casual Dining, Bar",950
Dasaprakash Cafe,False,False,3.2,10,MG Road,Cafe,400
Lotus Royal Cuisine,False,False,3.3,13,Church Street,Casual Dining,750
Grill 99 - The Ritz-Carlton,False,False,3.0,12,Residency Road,Fine Dining,4000
Green Paprika,False,False,3.3,7,Church Street,Casual Dining,1000
The Bao Belly,False,False,3.3,9,Residency Road,Cafe,400
Zaiqa,False,False,3.4,8,Richmond Road,Quick Bites,350
Malabar Kitchen,True,False,3.2,5,Commercial Street,Quick Bites,300
Soul City,False,False,3.8,217,Lavelle Road,Casual Dining,2000
Ozaa,False,False,3.6,31,Lavelle Road,Casual Dining,1700
The Coffee Bean & Tea Leaf,True,False,3.8,260,MG Road,Cafe,700
Wangs Kitchen,True,False,2.0,22,Ulsoor,Casual Dining,1000
C Sharp Kitchen,True,False,3.4,50,Church Street,Casual Dining,600
Casa Express,False,False,2.6,26,Residency Road,Quick Bites,400
Italia - The Park Bangalore,False,False,3.7,82,MG Road,Fine Dining,2500
Berrylicious Cafe,True,False,4.1,125,MG Road,"Casual Dining, Cafe",900
Kamat's Palate Korner,False,False,4.1,121,Richmond Road,Casual Dining,600
Mamma Mexicana,True,True,2.2,406,MG Road,Casual Dining,1000
Glen's Bakehouse,True,False,4.4,1087,Lavelle Road,"Bakery, Cafe",600
Airlines Hotel,True,False,4.0,867,Lavelle Road,Quick Bites,400
Siddiqu Kabab Center,False,False,4.0,174,Richmond Road,Quick Bites,250
The Bundle Co.,True,False,4.4,222,MG Road,Quick Bites,700
Khazana Food Paradise,False,False,4.1,356,Richmond Road,Quick Bites,400
Bhagatram Sweets,False,False,3.6,221,Commercial Street,Quick Bites,300
Mandarin Box,False,False,3.9,80,Church Street,Quick Bites,500
Indian Coffee House,False,False,4.0,1217,Church Street,Quick Bites,200
Amritsari Kulcha Bite,True,False,3.9,101,Ulsoor,Quick Bites,150
99 Pancakes,True,False,4.1,41,Church Street,Dessert Parlor,150
Siddappa Hotel,False,False,4.1,274,Richmond Road,Quick Bites,150
Lakeview Milkbar,False,False,4.0,1443,MG Road,"Dessert Parlor, Cafe",500
eat.fit,True,True,4.1,94,Church Street,Quick Bites,300
Leon Grill,True,False,4.3,284,St. Marks Road,Quick Bites,500
Kentacky Chicken Corner,False,False,4.0,102,Richmond Road,Quick Bites,300
Indian Spice Food,True,False,3.6,15,Ulsoor,Quick Bites,300
Northern Route,True,False,4.1,159,St. Marks Road,Quick Bites,300
Juice Junction,True,False,4.0,101,St. Marks Road,Quick Bites,150
Nisarga Garden,False,False,4.0,89,Infantry Road,Quick Bites,300
Shanthi Sagar,True,False,4.1,204,Ulsoor,Quick Bites,250
Hatti Kaapi,True,False,3.8,30,Ulsoor,Quick Bites,200
Chetty's Coffee,True,False,3.7,18,MG Road,Quick Bites,200
Amdo's Corner Tibetan Foods,False,False,4.0,47,Richmond Road,Quick Bites,250
Indian Chicken Biryani Point,True,False,3.3,9,Richmond Road,Quick Bites,300
Stars 'N' Stripes,False,False,2.7,77,MG Road,Quick Bites,500
Sri Saravana Bhavan,False,False,3.9,75,Commercial Street,Quick Bites,150
Koshy's,False,False,3.6,52,Richmond Road,"Bakery, Quick Bites",300
Hotel Fanoos,True,False,4.0,787,Richmond Road,Quick Bites,400
Desi Vdesi,True,False,3.9,113,Shanti Nagar,Quick Bites,250
Haji Ali Juice Centre,True,False,4.0,78,Commercial Street,"Quick Bites, Beverage Shop",350
Domino's Pizza,True,False,3.9,117,MG Road,Quick Bites,800
New Taj,True,False,3.3,111,Ulsoor,Quick Bites,300
The Wok Shop,True,False,3.4,7,Ulsoor,Quick Bites,500
Sri Udupi Park,True,False,3.8,106,Residency Road,Quick Bites,200
Hotel Dil Coorg,True,False,3.6,79,Ulsoor,Quick Bites,300
Kabab Souq,True,False,3.6,112,Richmond Road,Quick Bites,500
Shahi Family Restaurant,True,False,3.4,69,Ulsoor,Quick Bites,350
New Kudla Family Resturant,True,False,3.2,4,MG Road,Quick Bites,450
Chickpet Donne Biryani House,True,False,3.7,44,Commercial Street,Quick Bites,250
Vishnu Sagar,False,False,3.0,33,Commercial Street,Quick Bites,400
Mathsya Darshini,False,False,3.2,57,Lavelle Road,Quick Bites,350
SGS Non Veg - Gundu Pulav,True,False,3.9,55,St. Marks Road,Quick Bites,400
Masala Oota,True,False,3.6,79,Residency Road,Quick Bites,500
New Alameen Restaurant,True,False,3.0,24,Ulsoor,Quick Bites,300
Fatima Bakery,False,False,3.7,14,Richmond Road,"Bakery, Quick Bites",300
Ramji Chaiwale,True,False,3.8,41,Ulsoor,Quick Bites,250
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,False,False,3.6,26,Shivajinagar,Quick Bites,300
Mel's Korner,False,False,3.8,95,Church Street,Quick Bites,500
Hotel Ajantha,False,False,3.9,77,MG Road,Quick Bites,200
Deccan Spices,True,False,3.7,23,Richmond Road,Quick Bites,500
Goli Vada Pav No. 1,False,False,3.0,18,Residency Road,Quick Bites,200
Just Bake,True,False,3.0,33,Shanti Nagar,"Bakery, Quick Bites",400
Paratha Xpress,True,False,3.0,7,Ulsoor,Quick Bites,200
Yauatcha PÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¢tisserie,True,False,3.9,53,MG Road,Dessert Parlor,600
Adda,False,False,3.3,5,Shanti Nagar,Quick Bites,300
Donne Biryani House,True,False,3.3,70,Residency Road,Quick Bites,400
Shilpa Veg,False,False,3.6,37,Shivajinagar,Quick Bites,250
Donne Biriyani Mane,True,False,3.0,62,Church Street,Quick Bites,400
Platter,True,False,2.9,26,Residency Road,Quick Bites,300
Hushy's Kitchen,True,False,3.0,58,Shanti Nagar,Quick Bites,300
Tayabbs,False,False,3.7,70,Ulsoor,Quick Bites,500
Kaati Zone,True,False,3.1,163,Church Street,Quick Bites,350
Foody's,True,False,3.8,170,Shanti Nagar,Quick Bites,250
Allana Kabab,True,False,3.3,4,Richmond Road,Quick Bites,200
Five Star Chicken,True,False,3.4,26,Ulsoor,Quick Bites,200
Firewood Biryani,True,False,3.9,454,Residency Road,Quick Bites,400
Hotel Metropole,False,False,2.9,18,Shivajinagar,Quick Bites,400
Ultra Biriyani Paradise,False,False,3.3,9,Shanti Nagar,Quick Bites,300
The Grand Taj,True,False,3.2,35,Shivajinagar,Quick Bites,350
Faasos,True,False,3.9,252,Residency Road,Quick Bites,500
Vasudev Adiga's,False,False,3.7,58,Church Street,Quick Bites,250
Mummy Dhaba,True,False,3.2,46,Ulsoor,Quick Bites,300
Ram Prasad Veg,False,False,3.6,14,Shivajinagar,Quick Bites,150
North Indian Hotel,False,False,3.0,11,Shivajinagar,Quick Bites,200
Indira Darshini,True,False,3.0,21,Infantry Road,Quick Bites,200
Gundappa Donne Biryani,False,False,3.7,160,St. Marks Road,Quick Bites,300
Royal Restaurant,False,False,3.2,7,Shivajinagar,Quick Bites,200
Shree Sadguru Refreshment,True,False,3.2,4,Ulsoor,Quick Bites,400
Khan Saheb Grills and Rolls,True,False,3.4,25,Langford Town,Quick Bites,350
Chaitanya Veg,True,False,3.2,5,Shivajinagar,Quick Bites,300
New Arya Bhavan,False,False,3.1,23,MG Road,Quick Bites,300
Bettaiah Military Hotel,False,False,3.3,4,Shanti Nagar,Quick Bites,250
Maaheshwari Chaat Wala,False,False,3.9,27,Ulsoor,Quick Bites,100
Sri Rama,True,False,3.2,4,Shivajinagar,Quick Bites,200
Hotel Rangoon,True,False,3.7,17,Ulsoor,Quick Bites,300
Lemon Rice,False,False,3.4,12,Ulsoor,Quick Bites,100
Sri Krishna Foodline,False,False,3.3,4,Ulsoor,Quick Bites,100
Bhaiyaji Food Court,False,False,3.3,6,MG Road,Quick Bites,300
Indy's Comfort Food,False,False,4.1,399,Shivajinagar,Quick Bites,300
Crunch Pizzas,True,False,2.0,34,Ulsoor,Quick Bites,600
K V Canteen,False,False,3.0,17,Commercial Street,Quick Bites,100
Cool Joint,False,False,3.6,25,Commercial Street,Quick Bites,250
Vyshali Food Corner,False,False,3.6,13,Shanti Nagar,Quick Bites,400
Delhi Bhavan,False,False,3.4,11,Commercial Street,Quick Bites,150
Sangam Kabab Corner,False,False,3.1,4,Ulsoor,Quick Bites,300
Hotel Kanchan's Fish & Chicken,False,False,3.3,4,Shivajinagar,Quick Bites,250
Kavya Sagar,False,False,2.9,10,Richmond Road,Quick Bites,250
Mr. Anbu'g Ambur Biryani,False,False,3.2,4,Richmond Road,Quick Bites,300
R S Lunch Home,False,False,3.4,11,Shanti Nagar,Quick Bites,300
Donne Biryani,False,False,3.2,10,Shanti Nagar,Quick Bites,200
Sona Chicken Kabab,False,False,3.2,4,Ulsoor,Quick Bites,200
Sri Udupi Grand,False,False,3.2,9,Shanti Nagar,Quick Bites,350
Ambur Hot Dum Biryani,False,False,3.1,6,Shanti Nagar,Quick Bites,250
Gowdara Naati Mane,False,False,3.4,7,Residency Road,Quick Bites,500
Kanis Kitchen,False,False,3.6,14,Shivajinagar,Quick Bites,250
New Select Hotel,False,False,3.4,5,Richmond Road,Quick Bites,200
Hotel Ashoka,False,False,3.7,10,Shivajinagar,Quick Bites,200
Bombay Food Express,False,False,3.7,18,Shanti Nagar,Quick Bites,250
Sagar Chats,False,False,3.8,38,Commercial Street,Quick Bites,300
Bhaiya Ji Food Court,False,False,3.0,16,Ulsoor,Quick Bites,150
Tibbs Frankie,False,False,3.0,22,St. Marks Road,Quick Bites,200
Rescafe,False,False,3.8,41,Residency Road,Quick Bites,100
Tandoor Da Funda,False,False,3.6,15,MG Road,Quick Bites,350
Hotel Vinitha,False,False,3.2,5,Shivajinagar,Quick Bites,150
Sultan Shah's Restaurant,False,False,3.2,9,Shivajinagar,Quick Bites,200
Sattuani,False,False,3.0,9,St. Marks Road,Quick Bites,250
New A1 Chicken Biryani Point,False,False,3.1,6,Shivajinagar,Quick Bites,300
Caffe Maven,True,False,3.4,25,Residency Road,Quick Bites,300
Sweet Chariot Cafe,True,False,3.8,113,Residency Road,Dessert Parlor,500
MDP Coffee House,False,False,3.0,13,Commercial Street,Quick Bites,200
Bharathi Dosa Camp,False,False,3.2,7,Commercial Street,Quick Bites,100
Galaxy 2 Restaurant,False,False,3.2,4,Shivajinagar,Quick Bites,400
Hammered,True,True,4.7,4657,Cunningham Road,"Pub, Cafe",1300
Eden Park,True,True,4.1,612,Cunningham Road,Casual Dining,1100
Pasta Street,True,True,4.0,1621,Cunningham Road,Casual Dining,1300
Dolci Desserts,True,False,4.3,652,Cunningham Road,"Cafe, Dessert Parlor",750
The Culinarium,False,False,3.7,22,Vasanth Nagar,"Cafe, Dessert Parlor",1100
Skylit - Citrus Hotels,False,True,4.0,323,Cunningham Road,Lounge,1300
Banjara Melting Pot,True,True,4.2,474,Cunningham Road,Casual Dining,1700
Shezan,True,False,4.1,391,Cunningham Road,Casual Dining,600
Infinitea Tea Room & Tea Store,True,True,4.3,858,Cunningham Road,"Casual Dining, Cafe",1000
Mudpipe Cafe,True,False,4.2,739,Cunningham Road,Cafe,750
Siddique Kabab Centre,True,False,3.9,430,Frazer Town,Casual Dining,550
Ramana's,True,True,4.0,378,Cunningham Road,Casual Dining,850
Thom's Bakery,False,False,4.1,211,Frazer Town,"Bakery, Quick Bites",200
Red Lantern,True,False,3.7,162,Cunningham Road,Casual Dining,700
Chung's Chinese Corner,True,False,3.3,201,Cunningham Road,Casual Dining,700
Ta'aam,True,False,4.1,402,Cunningham Road,Casual Dining,750
Zodiac - Fortune Select JP Cosmos Hotel,True,True,3.8,91,Cunningham Road,Casual Dining,1800
Hotel Nisarga Grand,True,False,3.6,32,City Market,Casual Dining,500
New Prashanth Naati Style,False,False,3.8,29,Cunningham Road,Casual Dining,400
One Atria Cafe,False,True,3.7,100,Race Course Road,Casual Dining,1600
Kamat Restaurant,True,False,3.6,31,City Market,Casual Dining,400
Tijouri,False,True,4.0,70,Race Course Road,Fine Dining,2800
Maratha Darshan,False,False,4.0,107,Cunningham Road,Quick Bites,400
Masala Central,True,False,3.7,74,Frazer Town,Quick Bites,300
Chikkanna Tiffin Room,False,False,4.0,203,City Market,Quick Bites,150
SLN Lunch Home,False,False,3.9,26,City Market,Quick Bites,100
Chels Cafe,True,False,3.0,20,Cunningham Road,Cafe,500
Fish Factory-Citrus Hotel,False,True,3.9,40,Cunningham Road,Fine Dining,2600
Sanman Veg,False,False,3.0,12,Cunningham Road,Quick Bites,250
Pai Vihar,False,False,3.2,41,City Market,Quick Bites,400
California Burrito,False,False,4.0,53,Cunningham Road,Quick Bites,400
24 Carats - The Capitol,False,False,3.1,46,Cunningham Road,Casual Dining,1000
BISO - Citrus Hotels,False,True,3.9,156,Cunningham Road,Casual Dining,1100
Samrudh Veg,False,False,3.6,10,Cunningham Road,Quick Bites,200
Chaithanya Andhra Style Family Restaurant,False,False,3.2,4,Cunningham Road,Casual Dining,600
Roll Junction,True,False,2.9,56,Cunningham Road,Quick Bites,150
The Whiskey Bar,False,True,3.7,43,Race Course Road,Bar,2800
Nostradamus Bar & Lounge,False,False,3.6,14,Cunningham Road,Bar,1500
Mallige,False,False,3.2,5,Race Course Road,Casual Dining,700
Talk Ease,False,False,3.1,10,City Market,Cafe,200
Srinidhi Real Food,False,False,3.6,26,Vasanth Nagar,Quick Bites,200
Al Sadique Restaurant,False,False,3.0,31,Frazer Town,Quick Bites,350
Queens Food Corner,False,False,3.1,11,Cunningham Road,Quick Bites,200
Ambur Star Dum Biriyani,False,False,3.3,4,Wilson Garden,Quick Bites,300
Pizza Stop,True,False,3.9,146,Cunningham Road,Quick Bites,600
The French Loaf,True,False,2.8,142,Frazer Town,"Bakery, Quick Bites",300
M9 - Citrus Hotels,False,False,3.1,10,Cunningham Road,Casual Dining,800
Tea and Wine Lounge,False,False,3.0,10,Race Course Road,Cafe,800
Double Decker,False,True,4.3,2651,Brigade Road,"Bar, Casual Dining",1300
NoLimmits Lounge and Club,True,True,4.0,2103,Brigade Road,Club,2000
Fava,False,True,4.4,2039,Lavelle Road,"Casual Dining, Bar",1200
Arbor Brewing Company,False,True,4.0,8375,Brigade Road,"Pub, Microbrewery",2000
The Permit Room,False,False,4.0,1573,Brigade Road,"Casual Dining, Bar",1500
ShakesBierre,False,True,4.4,256,Brigade Road,"Microbrewery, Casual Dining",1500
The Barn - Bar & Kitchen,False,True,4.2,240,Brigade Road,Pub,1500
Laughing Llama Gastropub,True,True,4.3,393,Brigade Road,"Bar, Casual Dining",1600
Pecos Classic,False,True,4.1,548,Brigade Road,"Pub, Casual Dining",1100
Guzzlers Inn,False,False,4.0,949,Brigade Road,Pub,1100
Le Rock,True,False,4.0,1203,Brigade Road,"Bar, Quick Bites",2000
Fusion Lounge,False,False,2.0,395,Brigade Road,Lounge,1500
Flame Pub & Restaurant - Brigade Garden,False,False,2.9,24,Brigade Road,"Bar, Casual Dining",1900
The 13th Floor,False,True,4.4,4575,MG Road,Lounge,1700
Communiti,False,False,4.7,3894,Residency Road,"Microbrewery, Casual Dining",1500
Skyye,False,True,4.2,3116,Lavelle Road,Lounge,2500
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,False,True,4.4,858,Lavelle Road,Fine Dining,3000
Shiro,True,True,4.4,2229,Lavelle Road,"Fine Dining, Lounge",3000
Farzi Cafe,False,False,4.4,2392,Lavelle Road,"Casual Dining, Microbrewery",1500
Hard Rock Cafe,False,True,4.0,5262,St. Marks Road,"Casual Dining, Bar",2500
MISU,True,True,4.6,1211,St. Marks Road,"Casual Dining, Bar",1700
Bangalore Brew Works,False,True,4.2,2212,Residency Road,"Microbrewery, Lounge",1700
Fava,False,True,4.4,2039,Lavelle Road,"Casual Dining, Bar",1200
Soda Bottle Opener Wala,True,True,4.4,3651,Lavelle Road,"Casual Dining, Irani Cafee",1300
The Bar Stock Exchange,False,False,4.3,606,St. Marks Road,"Pub, Casual Dining",1300
The Biere Club,True,True,4.3,3484,Lavelle Road,"Pub, Microbrewery",1700
SkyDeck By Sherlock's,False,True,4.2,1418,MG Road,"Pub, Casual Dining",1500
Alchemy - The Chancery Pavilion,False,True,4.3,446,Residency Road,"Microbrewery, Casual Dining",2000
Sanchez,False,False,4.3,1028,Lavelle Road,Lounge,1500
1Q1,False,True,4.3,595,Infantry Road,"Casual Dining, Bar",2500
RockSalt,True,True,4.4,484,St. Marks Road,"Bar, Casual Dining",1900
Hoppipola,True,False,4.3,1703,Church Street,Lounge,1300
Tree Tops Bar & Kitchen,False,True,4.4,108,Lavelle Road,"Casual Dining, Bar",1000
Bang - The Ritz-Carlton,False,True,4.3,474,Residency Road,Lounge,3000
Easy Tiger,False,False,4.3,2240,Church Street,"Bar, Casual Dining",1100
Capri Gastrobar,False,True,4.3,284,St. Marks Road,"Bar, Casual Dining",1200
Bangalore Pub Exchange,False,True,4.1,209,MG Road,"Pub, Casual Dining",1000
The Open Box,True,True,4.2,2270,St. Marks Road,"Casual Dining, Bar",1400
Russh Gastropub,False,False,4.2,1279,Church Street,Pub,1100
20 Feet High,True,True,4.0,932,Church Street,"Casual Dining, Bar",1000
Amber Rush Restobar,False,True,4.1,93,Residency Road,Pub,1000
Plan B,False,False,4.2,2020,Shanti Nagar,"Casual Dining, Pub",1200
Coconut Grove,False,True,3.9,680,Church Street,"Casual Dining, Bar",1200
Smaaash,False,True,4.2,538,MG Road,"Casual Dining, Pub",1500
My Space - WelcomeHotel Bengaluru,False,False,3.9,23,Richmond Road,Bar,2000
Chin Lung Resto Bar,False,False,3.9,378,Residency Road,Bar,1000
Fuel Resto Bar,False,False,4.2,38,Richmond Road,Bar,2000
Bootlegger,False,False,4.1,1543,Lavelle Road,Pub,1200
Ice - Taj MG Road Bengaluru,False,True,4.1,608,MG Road,Club,2800
i-Bar - The Park Bangalore,False,False,3.8,617,MG Road,Lounge,3000
Chugg,False,True,3.9,747,Church Street,Pub,1500
Scottish Pub,False,False,3.9,191,St. Marks Road,Bar,600
WYT RestroPub,False,False,2.7,402,MG Road,Pub,1000
ThrowBack - Pub & Dine,False,False,3.9,234,Langford Town,"Bar, Casual Dining",1000
Downtown,False,False,3.7,293,Residency Road,Pub,1000
The Ritz-Carlton Bar - The Ritz-Carlton,False,False,4.0,93,Residency Road,Lounge,2000
Sphyre - Gateway Hotel,False,False,3.6,43,Residency Road,Lounge,1700
Slounge - Lemon Tree Premier,False,False,4.0,62,Ulsoor,Lounge,1500
Aqua - The Park Bangalore,False,True,4.0,196,MG Road,"Lounge, Bar",3000
Strikers Sports Bar and Music,False,True,3.8,73,Shanti Nagar,Bar,1200
Bar UNO - JW Marriott Bengaluru,False,False,3.9,72,Lavelle Road,Lounge,2500
Liquid Lounge - Hyatt Centric MG Road,False,True,4.0,98,Ulsoor,Lounge,2400
Retro Lounge Bar,False,True,3.8,108,Ulsoor,Bar,1400
Mighty Small,False,False,4.1,259,MG Road,"Casual Dining, Bar",1200
White Plate,False,True,4.2,258,MG Road,"Casual Dining, Bar",1500
The Hub - Ibis Hotel,False,False,3.0,29,Richmond Road,Bar,2200
Page 3 Multicuisine Restaurant & Bar,False,False,3.0,14,Residency Road,Bar,800
MM Bar & Restaurant,False,False,3.4,6,Shivajinagar,Bar,700
Luscious - St. Mark's Hotel,False,False,3.7,11,St. Marks Road,Lounge,1200
The Charlton Bar,False,False,3.3,4,Residency Road,Bar,1000
Hammered,True,True,4.7,4657,Cunningham Road,"Pub, Cafe",1300
Skylit - Citrus Hotels,False,True,4.0,323,Cunningham Road,Lounge,1300
The Whiskey Bar,False,True,3.7,43,Race Course Road,Bar,2800
Nostradamus Bar & Lounge,False,False,3.6,14,Cunningham Road,Bar,1500
Tea and Wine Lounge,False,False,3.0,10,Race Course Road,Cafe,800
Haagen Dazs,True,False,3.9,77,Koramangala 7th Block,Dessert Parlor,800
Frolic,True,False,3.9,34,Koramangala 7th Block,Dessert Parlor,200
Bombay Kulfis,True,False,3.9,27,Koramangala 5th Block,Dessert Parlor,200
Sweet Truth,True,False,4.1,23,Koramangala 6th Block,Delivery,500
Maxpresso,True,False,4.1,323,Koramangala 7th Block,Cafe,700
Haji Ali Juice Centre,True,False,4.0,152,Koramangala 5th Block,"Beverage Shop, Quick Bites",350
Cookie Man,True,False,4.0,100,Koramangala 7th Block,Dessert Parlor,150
Gelato Italiano,True,False,3.9,110,Koramangala 5th Block,Dessert Parlor,200
Juicy,False,False,3.9,43,Koramangala 5th Block,Beverage Shop,200
The French Loaf,False,False,3.8,34,Koramangala 5th Block,Bakery,400
Lakeview Milkbar,False,False,3.8,286,Koramangala 8th Block,"Dessert Parlor, Cafe",500
Cake Box,True,False,3.6,97,Koramangala 8th Block,Bakery,400
Brownie Heaven,True,False,3.9,16,Koramangala 5th Block,Dessert Parlor,300
Iyengar's Bakery,False,False,3.0,11,Koramangala 6th Block,Bakery,200
Bansuri Sweets,False,False,3.7,73,Koramangala 6th Block,"Sweet Shop, Quick Bites",250
Oh! Calcutta,True,True,4.4,1110,Church Street,"Casual Dining, Bar",1200
The Bar Stock Exchange,False,False,4.3,606,St. Marks Road,"Pub, Casual Dining",1300
Sunny's,False,True,4.1,1327,Lavelle Road,"Casual Dining, Bar",2100
The Biere Club,True,True,4.3,3484,Lavelle Road,"Pub, Microbrewery",1700
SkyDeck By Sherlock's,False,True,4.2,1418,MG Road,"Pub, Casual Dining",1500
1Q1,False,True,4.3,595,Infantry Road,"Casual Dining, Bar",2500
RockSalt,True,True,4.4,484,St. Marks Road,"Bar, Casual Dining",1900
Mainland China,True,True,4.0,1394,Church Street,"Casual Dining, Bar",1700
Tree Tops Bar & Kitchen,False,True,4.4,108,Lavelle Road,"Casual Dining, Bar",1000
The Spice Bazaar,False,True,4.2,332,Lavelle Road,"Casual Dining, Bar",1000
Easy Tiger,False,False,4.3,2240,Church Street,"Bar, Casual Dining",1100
Capri Gastrobar,False,True,4.3,284,St. Marks Road,"Bar, Casual Dining",1200
Bangalore Pub Exchange,False,True,4.1,209,MG Road,"Pub, Casual Dining",1000
The Open Box,True,True,4.2,2270,St. Marks Road,"Casual Dining, Bar",1400
Russh Gastropub,False,False,4.2,1279,Church Street,Pub,1100
The Rice Bowl,True,True,4.3,500,Lavelle Road,"Casual Dining, Bar",1300
Carnival de Goa,True,True,4.2,980,Ulsoor,"Casual Dining, Bar",1000
20 Feet High,True,True,4.0,932,Church Street,"Casual Dining, Bar",1000
Amber Rush Restobar,False,True,4.1,93,Residency Road,Pub,1000
Coconut Grove,False,True,3.9,680,Church Street,"Casual Dining, Bar",1200
Smaaash,False,True,4.2,538,MG Road,"Casual Dining, Pub",1500
Riwaz - The Ritz-Carlton,False,True,4.1,270,Residency Road,"Fine Dining, Bar",4000
The Grill House,True,True,4.1,765,Ulsoor,"Casual Dining, Bar",1200
My Space - WelcomeHotel Bengaluru,False,False,3.9,23,Richmond Road,Bar,2000
Chin Lung Resto Bar,False,False,3.9,378,Residency Road,Bar,1000
Puran da Dhaba - The Pride Hotel,True,False,4.0,162,Richmond Road,"Casual Dining, Bar",1700
Ging - Royal Orchid Central,True,True,4.3,225,MG Road,"Bar, Casual Dining",2000
Fuel Resto Bar,False,False,4.2,38,Richmond Road,Bar,2000
The Lantern Restaurant & Bar - The Ritz-Carlton...,False,True,4.4,424,Residency Road,"Fine Dining, Bar",3500
Bootlegger,False,False,4.1,1543,Lavelle Road,Pub,1200
Tiger Trail - Ramada Hotel,True,True,4.0,188,Shivajinagar,"Casual Dining, Bar",1300
Matsuri - The Chancery Hotel,False,True,4.4,183,Lavelle Road,"Casual Dining, Bar",1800
EatWater,True,False,4.2,121,Lavelle Road,"Casual Dining, Bar",1000
Fort Kochi,False,True,4.1,335,MG Road,"Casual Dining, Bar",1800
Chugg,False,True,3.9,747,Church Street,Pub,1500
Scottish Pub,False,False,3.9,191,St. Marks Road,Bar,600
WYT RestroPub,False,False,2.7,402,MG Road,Pub,1000
ThrowBack - Pub & Dine,False,False,3.9,234,Langford Town,"Bar, Casual Dining",1000
South Parade - The Chancery Hotel,False,False,3.1,120,Lavelle Road,"Casual Dining, Bar",1200
Downtown,False,False,3.7,293,Residency Road,Pub,1000
Aqua - The Park Bangalore,False,True,4.0,196,MG Road,"Lounge, Bar",3000
Strikers Sports Bar and Music,False,True,3.8,73,Shanti Nagar,Bar,1200
Atomic Lab,False,False,3.0,53,Lavelle Road,"Casual Dining, Bar",1800
Retro Lounge Bar,False,True,3.8,108,Ulsoor,Bar,1400
Mighty Small,False,False,4.1,259,MG Road,"Casual Dining, Bar",1200
White Plate,False,True,4.2,258,MG Road,"Casual Dining, Bar",1500
The Hub - Ibis Hotel,False,False,3.0,29,Richmond Road,Bar,2200
Page 3 Multicuisine Restaurant & Bar,False,False,3.0,14,Residency Road,Bar,800
MM Bar & Restaurant,False,False,3.4,6,Shivajinagar,Bar,700
Nandhini Paradise,False,True,3.6,277,St. Marks Road,"Casual Dining, Bar",800
The Charlton Bar,False,False,3.3,4,Residency Road,Bar,1000
Amnesia - The Poolside Bar,False,False,3.7,15,Residency Road,"Casual Dining, Bar",2000
Engine,False,False,3.3,16,Ulsoor,"Casual Dining, Bar",950
Hammered,True,True,4.7,4657,Cunningham Road,"Pub, Cafe",1300
The Whiskey Bar,False,True,3.7,43,Race Course Road,Bar,2800
Nostradamus Bar & Lounge,False,False,3.6,14,Cunningham Road,Bar,1500
Onesta,True,True,4.3,840,Brookefield,"Casual Dining, Cafe",600
Imperio Restaurant,True,True,4.2,767,Brookefield,Casual Dining,700
Zaica Dine & Wine,True,True,3.8,818,Brookefield,"Casual Dining, Bar",750
AB's - Absolute Barbecues,False,True,4.8,2882,Whitefield,Casual Dining,1600
Flechazo,False,True,4.9,2745,Whitefield,Casual Dining,1400
Ji Hazoor,True,True,4.0,2807,Whitefield,"Casual Dining, Bar",1100
HQ,False,True,4.1,460,Whitefield,"Casual Dining, Bar",1000
The Terrace at Windmills Craftworks,False,False,4.1,450,Whitefield,Casual Dining,1800
Mainland China,True,True,4.7,1512,Whitefield,Casual Dining,1700
Bufferia,False,True,4.0,345,Marathahalli,"Casual Dining, Bar",1500
Kava Kitchen & Bar - Fairfield by Marriott,False,False,3.9,69,Whitefield,"Casual Dining, Bar",1200
M Cafe - Bengaluru Marriott Hotel Whitefield,False,True,4.1,821,Whitefield,Fine Dining,2500
Barbeque Nation,False,False,3.8,32,Whitefield,Casual Dining,1600
The Square Table,True,True,4.2,560,Whitefield,Casual Dining,1000
